Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
12/28/2019 14:09:25,9.230768,7.69230747,9.230768,7.69230747,8.461541,38,35,39,36,39,997.7003,997.7003,997.7003,997.7003,4.40284348,0.6598295,0.00512617733,1.03247237,99.77003,54.1845055,4.286133,3.62412262,37,47.1771431
12/28/2019 14:14:25,9.230768,7.69230747,15.3846149,6.153846,9.615379,39,36,39,37,39,798.160034,798.160034,798.160034,798.160034,4.520784,0.7081953,0.00600114651,1.04563975,99.7700043,54.27054,4.292938,3.6173172,37,47.17754
12/28/2019 14:19:26,19.9999981,9.230768,12.3076916,6.153846,11.9230747,39,37,39,39,39,2594.021,2594.021,2594.021,2594.021,5.22134924,1.04068053,0.00471333647,1.08013964,99.7700348,54.43706,4.30611038,3.604145,37,47.177906
12/28/2019 14:24:26,7.69230747,6.153846,6.153846,12.3076916,8.076924,38,36,39,37,39,798.1598,798.1598,798.1598,798.1598,4.569806,0.8229063,0.00450529,1.03849947,99.76997,54.42428,4.30509949,3.605156,37,47.17821
12/28/2019 14:29:26,15.3846149,13.8461533,10.76923,64.61538,26.1538448,41,42,44,44,44,3491.94971,3491.94971,3491.94971,3292.41,16.3880863,9.216504,0.00680135936,1.21792483,99.77,54.58935,4.318157,3.59209824,37,47.1776466
12/28/2019 14:34:26,16.9230766,9.230768,10.76923,4.615384,10.384613,39,37,39,38,39,997.7002,997.7002,997.7002,997.7002,4.637388,0.78868,0.00539043127,1.04993629,99.77002,54.5392952,4.31419754,3.596058,37,47.17802
12/28/2019 14:39:26,15.3846149,12.3076916,44.6153831,9.230768,20.38461,43,40,44,43,43,3591.719,3591.719,3292.40918,3292.40918,12.6569252,6.343721,0.008785749,1.36307967,99.76997,54.6420631,4.32232666,3.58792877,37,47.1783
12/28/2019 14:44:26,19.9999981,4.615384,9.230768,9.230768,10.7692242,39,37,38,37,39,1496.55078,1496.55078,1496.55078,1496.55078,4.341907,0.6769404,0.00499076676,1.0330286,99.77006,54.66661,4.32426834,3.585987,37,47.17873
12/28/2019 14:49:26,9.230768,6.153846,6.153846,4.615384,6.538457,39,38,39,40,40,798.1597,798.1597,798.1597,798.1597,4.39145374,0.738874,0.007095307,1.04373169,99.7699661,54.97298,4.348503,3.56175232,37,47.1789169
12/28/2019 14:54:27,4.615384,12.3076916,4.615384,10.76923,8.076918,39,36,38,38,39,997.699768,997.699768,997.699768,997.699768,4.31498051,0.6769184,0.005450325,1.03196812,99.76997,54.8777847,4.340973,3.56928253,37,47.17927
12/28/2019 14:59:27,12.3076916,3.076923,15.3846149,9.230768,10.0000019,39,37,39,39,40,1895.62891,1895.62891,1895.62891,1895.62891,4.52212143,0.726481438,0.005717957,1.03061652,99.76994,55.0431,4.35404968,3.55620575,37,47.17957
12/28/2019 15:04:27,6.153846,9.230768,9.230768,15.3846149,10.0000019,38,36,39,39,39,798.1599,798.1599,798.1599,997.6998,4.742353,0.8182697,0.005055878,1.0427748,99.76999,55.93087,4.42427444,3.485981,37,47.1789246
